iter	Passed	Remaining
0	213	213407
1	218	109094
2	489	162697
3	502	125173
4	506	100851
5	512	84856
6	530	75260
7	535	66397
8	628	69222
9	634	62796
10	646	58138
11	661	54454
12	665	50523
13	677	47738
14	984	64639
15	988	60819
16	1001	57897
17	1005	54855
18	1015	52423
19	1019	49960
20	1225	57124
21	1238	55052
22	1258	53437
23	1265	51460
24	1277	49804
25	1281	48002
26	1349	48622
27	1382	48003
28	1394	46692
29	1398	45212
30	1409	44051
31	1424	43085
32	1428	41852
33	1520	43211
34	1524	42038
35	1536	41137
36	1540	40098
37	1557	39422
38	1570	38687
39	1602	38465
40	1607	37597
41	1618	36919
42	1623	36125
43	1632	35480
44	1636	34737
45	1713	35545
46	1719	34874
47	1729	34303
48	1733	33648
49	1743	33119
50	1748	32529
51	1759	32085
52	1765	31554
53	1776	31117
54	1779	30582
55	1783	30067
56	1795	29706
57	1799	29231
58	1898	30272
59	1907	29890
60	1912	29444
61	1925	29130
62	1938	28830
63	1942	28409
64	1952	28086
65	2024	28652
66	2094	29159
67	2104	28840
68	2108	28443
69	2121	28188
70	2125	27816
71	2136	27542
72	2188	27795
73	2197	27492
74	2202	27162
75	2213	26914
76	2220	26617
77	2224	26292
78	2228	25975
79	2274	26162
80	2279	25859
81	2287	25610
82	2293	25340
83	2307	25166
84	2310	24866
85	2317	24629
86	2327	24425
87	2338	24231
88	2341	23971
89	2351	23778
90	2355	23526
91	2366	23354
92	2370	23119
93	2380	22943
94	2384	22713
95	2394	22547
96	2398	22324
97	2402	22110
98	2480	22579
99	2484	22364
100	2495	22214
101	2499	22007
102	2510	21863
103	2514	21664
104	2676	22818
105	2681	22611
106	2690	22458
107	2694	22257
108	2698	22058
109	2708	21910
110	2711	21718
111	2794	22158
112	2803	22005
113	2809	21838
114	2820	21703
115	2823	21520
116	2827	21340
117	2837	21211
118	2889	21391
119	2893	21218
120	2902	21085
121	2906	20915
122	2914	20779
123	2922	20647
124	2936	20554
125	2999	20807
126	3003	20646
127	3007	20487
128	3013	20349
129	3028	20270
130	3043	20186
131	3121	20526
132	3126	20378
133	3137	20275
134	3141	20127
135	3152	20026
136	3158	19896
137	3172	19816
138	3297	20424
139	3301	20278
140	3306	20146
141	3318	20053
142	3332	19969
143	3336	19834
144	3433	20247
145	3448	20172
146	3452	20036
147	3462	19931
148	3466	19796
149	3470	19663
150	3481	19572
151	3531	19701
152	3535	19570
153	3548	19491
154	3562	19419
155	3576	19350
156	3580	19224
157	3590	19135
158	3632	19211
159	3643	19129
160	3647	19007
161	3658	18924
162	3662	18804
163	3672	18722
164	3676	18606
165	3695	18565
166	3707	18493
167	3719	18421
168	3725	18320
169	3737	18247
170	3741	18137
171	3745	18029
172	3755	17954
173	3761	17855
174	3770	17774
175	3774	17671
176	3867	17983
177	3871	17878
178	3883	17813
179	3887	17709
180	3898	17639
181	3901	17537
182	3905	17436
183	4048	17955
184	4052	17854
185	4069	17808
186	4082	17748
187	4086	17651
188	4090	17553
189	4101	17485
190	4192	17756
191	4202	17685
192	4207	17592
193	4217	17523
194	4221	17427
195	4231	17355
196	4234	17262
197	4282	17347
198	4287	17258
199	4298	17192
200	4302	17102
201	4311	17033
202	4316	16945
203	4320	16856
204	4330	16792
205	4336	16713
206	4345	16645
207	4349	16562
208	4356	16489
209	4361	16406
210	4420	16531
211	4426	16452
212	4437	16397
213	4442	16315
214	4445	16233
215	4449	16151
216	4453	16070
217	4502	16149
218	4512	16093
219	4517	16016
220	4531	15973
221	4535	15895
222	4548	15846
223	4580	15868
224	4584	15791
225	4594	15735
226	4598	15658
227	4608	15603
228	4612	15528
229	4616	15453
230	4699	15646
231	4710	15594
232	4714	15520
233	4723	15462
234	4728	15392
235	4742	15352
236	4746	15280
237	4778	15297
238	4788	15247
239	4792	15176
240	4796	15106
241	4801	15040
242	4805	14971
243	4815	14918
244	4881	15043
245	4885	14973
246	4894	14921
247	4900	14859
248	4904	14792
249	4908	14726
250	4920	14683
